,discount,buying_mode,query,installment_quantity,installment_rate,has_msi,msi,days_until_discount_end,condition,brand,free_shipping,store_pick_up,price,domain_id,sold_quantity,initial_quantity,available_quantity,is_official_store,listing_type_id
1119,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,1488.94,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,336,386,50,True,gold_special
1120,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Altai Technologies,True,False,2449.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,807,808,1,True,gold_special
1121,52.0,buy_it_now,router%20wifi,3,0.0,True,3,3,new,TP-Link,True,False,696.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,192,342,150,False,gold_pro
1122,10.001094211620527,buy_it_now,router%20wifi,3,0.0,True,3,3,new,Tenda,True,False,329.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,377,378,1,True,gold_pro
1123,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,1299.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,588,589,1,True,gold_special
1124,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,789.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,194,195,1,False,gold_special
1125,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Tenda,True,False,514.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,376,426,50,False,gold_special
1126,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,823.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,1909,1910,1,True,gold_special
1127,25.02274795268426,buy_it_now,router%20wifi,3,0.0,True,3,1,new,Tenda,True,False,824.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,660,661,1,True,gold_pro
1128,3.405017921146954,buy_it_now,router%20wifi,3,0.0,True,3,3,new,Tenda,True,False,539.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,448,449,1,True,gold_pro
1129,29.000000000000004,buy_it_now,router%20wifi,3,0.0,True,3,3,new,Knup,False,False,133.48,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,194,294,100,False,gold_pro
1130,25.0,buy_it_now,router%20wifi,24,45.03,False,1,2,new,TP-Link,True,False,2439.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,381,431,50,True,gold_special
1131,24.99962082720338,buy_it_now,router%20wifi,24,45.03,False,1,2,new,TP-Link,True,False,989.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,54,55,1,True,gold_special
1132,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Steren,True,False,349.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,3877,4377,500,True,gold_special
1133,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Mercusys,True,False,405.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,56,57,1,False,gold_special
1134,25.0,buy_it_now,router%20wifi,6,0.0,True,6,1,new,Tenda,True,False,1424.25,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,259,409,150,True,gold_pro
1135,17.0002429885028,buy_it_now,router%20wifi,24,45.03,False,1,3,new,TP-Link,True,False,1298.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,982,983,1,True,gold_special
1136,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Tenda,True,False,462.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,312,362,50,False,gold_special
1137,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,681.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,80,81,1,False,gold_special
1138,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,3099.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,39,40,1,True,gold_special
1139,41.0,buy_it_now,router%20wifi,3,0.0,True,3,2,new,Steren,True,False,587.05,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,4,5,1,False,gold_pro
1140,0.0,buy_it_now,router%20wifi,3,0.0,True,3,0,new,Steren,True,False,999.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,199,200,1,True,gold_pro
1141,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,664.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,154,155,1,True,gold_special
1142,55.01394043464614,buy_it_now,router%20wifi,3,0.0,True,3,3,new,Xiaomi,False,False,243.64,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,5073,5573,500,False,gold_pro
1143,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,PTHORSE,False,False,268.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,62,63,1,False,gold_special
1144,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,555.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,2886,2887,1,True,gold_special
1145,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,1590.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,49,99,50,False,gold_special
1146,41.0,buy_it_now,router%20wifi,24,45.03,False,1,3,new,Xiaomi,True,False,412.41,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,150,151,1,False,gold_special
1147,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Genérica,True,False,368.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,107,108,1,False,gold_special
1148,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,Tenda,True,False,797.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,102,103,1,False,gold_special
1149,0.0,buy_it_now,router%20wifi,15,0.0,True,15,0,new,Asus,True,False,2399.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,35,36,1,False,gold_pro
1150,5.0,buy_it_now,router%20wifi,24,45.03,False,1,1,new,Linksys,True,False,845.5,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,25,26,1,True,gold_special
1151,0.0,buy_it_now,router%20wifi,3,0.0,True,3,0,new,Steren,True,False,665.15,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,40,41,1,False,gold_pro
1152,0.0,buy_it_now,router%20wifi,24,45.03,False,1,0,new,TP-Link,True,False,2420.0,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,36,37,1,True,gold_special
1153,21.049288617886184,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,1,new,KZ,True,False,310.75,MLM-HEADPHONES,19689,20189,500,False,gold_special
1154,13.000508130081304,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,3,new,KZ,True,False,342.43,MLM-HEADPHONES,5744,6244,500,False,gold_special
1155,34.99984120934958,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,3,0.0,True,3,3,new,Maono,True,False,818.69,MLM-HEADPHONES,444,644,200,True,gold_pro
1156,32.99999999999999,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,1,0.0,False,1,15,new,Keluona,False,False,86.43,MLM-HEADPHONES,8420,8920,500,True,gold_special
1157,0.0,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,0,new,JBL,True,False,1299.0,MLM-HEADPHONES,229,230,1,False,gold_special
1158,25.0208507089241,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,1,new,Haylou,True,False,899.0,MLM-HEADPHONES,6343,6593,250,True,gold_special
1159,69.0,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,3,new,1MORE,False,False,275.9,MLM-HEADPHONES,154,204,50,False,gold_special
1160,36.999621055532586,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,3,0.0,True,3,3,new,QCY,True,False,731.51,MLM-HEADPHONES,2372,2872,500,True,gold_pro
1161,25.0,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,3,0.0,True,3,3,new,Billboard,True,False,299.25,MLM-HEADPHONES,1992,1993,1,True,gold_pro
1162,15.000000000000005,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,3,new,KZ,True,False,334.56,MLM-HEADPHONES,4844,5344,500,False,gold_special
1163,0.0,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,0,new,Apple,True,False,419.0,MLM-HEADPHONES,1330,1530,200,True,gold_special
1164,25.0,buy_it_now,audifonos%20con%20cancelacion%20de%20ruido,24,45.03,False,1,1,new,CAT,False,False,149.25,MLM-HEADPHONES,1179,1180,1,False,gold_special
1165,0.0,buy_it_now,cargador%20inalambrico,24,45.03,False,1,0,new,Ugreen,True,False,479.0,MLM-MOBILE_DEVICE_CHARGERS,1071,1121,50,False,gold_special
1166,0.0,buy_it_now,cargador%20inalambrico,24,45.03,False,1,0,new,Genérica,False,False,195.0,MLM-MOBILE_DEVICE_CHARGERS,74,75,1,False,gold_special
1167,36.0,buy_it_now,cargador%20inalambrico,3,0.0,True,3,3,new,Fast Charge,False,False,190.72,MLM-MOBILE_DEVICE_CHARGERS,107,108,1,False,gold_pro
1168,23.019472768816296,buy_it_now,cargador%20inalambrico,24,45.03,False,1,3,new,Gahwa,True,False,451.46,MLM-MOBILE_DEVICE_CHARGERS,72,73,1,False,gold_special
1169,67.0,buy_it_now,cargador%20inalambrico,24,45.03,False,1,3,new,Saiviek,True,False,461.67,MLM-MOBILE_DEVICE_CHARGERS,1518,1768,250,True,gold_special
1170,0.0,buy_it_now,cargador%20inalambrico,24,45.03,False,1,0,new,Genérica,False,False,110.0,MLM-MOBILE_DEVICE_CHARGERS,781,1031,250,False,gold_special
1171,60.0,buy_it_now,cargador%20inalambrico,1,0.0,False,1,13,new,Jeeyee,False,False,95.6,MLM-MOBILE_DEVICE_CHARGERS,387,537,150,False,gold_special
1172,12.85475792988314,buy_it_now,cargador%20inalambrico,24,45.03,False,1,0,new,Mr. Gadgets,True,False,522.0,MLM-MOBILE_DEVICE_CHARGERS,616,666,50,True,gold_special
1173,42.00011615076369,buy_it_now,cargador%20inalambrico,24,45.03,False,1,3,new,Lagom,False,False,99.87,MLM-MOBILE_DEVICE_CHARGERS,385,435,50,False,gold_special
1174,0.0,buy_it_now,cargador%20inalambrico,24,45.03,False,1,0,new,Ugreen,True,False,725.0,MLM-MOBILE_DEVICE_CHARGERS,20,21,1,False,gold_special
1175,21.999999999999996,buy_it_now,cargador%20inalambrico,24,45.03,False,1,21,new,Mr. Gadgets,True,False,545.22,MLM-MOBILE_DEVICE_CHARGERS,37,38,1,True,gold_special
1176,25.000000000000007,buy_it_now,cargador%20inalambrico,3,0.0,True,3,1,new,Xiaomi,True,False,590.4,MLM-MOBILE_DEVICE_CHARGERS,88,138,50,False,gold_pro
1177,12.71860095389507,buy_it_now,cargador%20inalambrico,24,45.03,False,1,9,new,Apple,True,False,549.0,MLM-MOBILE_DEVICE_CHARGERS,22934,23434,500,True,gold_special
1178,0.0,buy_it_now,cargador%20inalambrico,3,0.0,True,3,0,new,Genérica,True,False,316.0,MLM-MOBILE_DEVICE_CHARGERS,49,149,100,False,gold_pro
1179,31.0,buy_it_now,cargador%20inalambrico,1,0.0,False,1,28,new,Genérica,False,False,69.0,MLM-MOBILE_DEVICE_CHARGERS,1010,1510,500,False,gold_special
1180,56.0044028618602,buy_it_now,cargador%20inalambrico,1,0.0,False,1,3,new,Genérica,False,False,79.94,MLM-MOBILE_DEVICE_CHARGERS,26,27,1,False,gold_pro
1181,0.0,buy_it_now,cargador%20inalambrico,3,0.0,True,3,0,new,Gomifoo,False,False,160.0,MLM-MOBILE_DEVICE_CHARGERS,50,100,50,False,gold_pro
1182,25.0,buy_it_now,cargador%20inalambrico,15,0.0,True,15,1,new,Belkin,True,False,2399.25,MLM-MOBILE_DEVICE_CHARGERS,24,25,1,True,gold_pro
1183,0.0,buy_it_now,cargador%20inalambrico,3,0.0,True,3,0,new,HYsmart,True,False,299.0,MLM-MOBILE_DEVICE_CHARGERS,101,102,1,False,gold_pro
1184,30.0,buy_it_now,cargador%20inalambrico,3,0.0,True,3,21,new,Power Bank,True,False,489.3,MLM-MOBILE_DEVICE_CHARGERS,840,841,1,True,gold_pro
